;10000;60000;110000;160000;210000;260000;310000;360000;410000;460000;510000;
Insert_random;3;15;51;103;178;274;395;524;702;874;1072;
Shell_random;1;0;0;1;1;1;1;2;1;2;3;
Insert_по_возрастанию;1;29;102;210;359;547;813;1067;1393;1754;2217;
Shell_по_возрастанию;1;0;0;1;1;1;1;1;1;2;2;
Insert_по_убыванию;1;30;101;208;357;555;785;1076;1406;1754;2157;
Shell_по_убыванию;0;0;1;0;1;1;1;1;2;2;2;
